school,volunteer,sports,clubs,sports_clubs,help_others,explore,experience,resume,friends,leadership,other_benefits,no_benefits,distracts,training,frustrating,boring,takes_time,money,other_neg,no_neg,specialized_school
Central Regional High School,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0
Central Regional High School,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0
Central Regional High School,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0
Central Regional High School,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Central Regional High School,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Central Regional High School,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Central Regional High School,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
Central Regional High School,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0
Central Regional High School,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Central Regional High School,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Central Regional High School,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Central Regional High School,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
Central Regional High School,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Central Regional High School,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0
Central Regional High School,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Central Regional High School,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
Central Regional High School,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
Central Regional High School,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Central Regional High School,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Central Regional High School,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
